Nitrogen,Phosphorus,Potassium,Temperature,Rainfall,pH,Soil_color,Crop,Fertilizer
140,60,70,30,900,6,Red ,Cotton,DAP
145,60,70,30,900,6,Red ,Cotton,DAP
150,60,70,30,900,6,Red ,Cotton,DAP
100,40,75,35,1000,6.5,Red ,Cotton,DAP
105,40,75,35,1000,6.5,Red ,Cotton,DAP
110,40,75,35,1000,6.5,Red ,Cotton,DAP
115,40,75,35,1000,6.5,Red ,Cotton,DAP
120,40,75,35,1000,6.5,Red ,Cotton,DAP
125,40,75,35,1000,6.5,Red ,Cotton,DAP
130,40,75,35,1000,6.5,Red ,Cotton,DAP
135,40,75,35,1000,6.5,Red ,Cotton,DAP
140,40,75,35,1000,6.5,Red ,Cotton,DAP
145,40,75,35,1000,6.5,Red ,Cotton,DAP
150,40,75,35,1000,6.5,Red ,Cotton,DAP
100,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
105,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
110,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
115,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
120,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
125,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
130,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
135,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
140,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
145,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
150,45,50,25,800,6,Red ,Cotton,Magnesium Sulphate
100,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
105,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
110,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
115,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
120,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
125,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
130,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
135,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
140,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
145,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
150,50,55,30,900,6.5,Red ,Cotton,Magnesium Sulphate
100,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
105,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
110,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
115,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
120,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
125,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
130,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
135,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
140,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
145,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
150,55,60,35,1000,7,Red ,Cotton,Magnesium Sulphate
100,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
105,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
110,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
115,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
120,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
125,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
130,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
135,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
140,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
145,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
150,60,65,25,800,7.5,Red ,Cotton,Magnesium Sulphate
100,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
105,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
110,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
115,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
120,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
125,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
130,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
135,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
140,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
145,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
150,40,70,30,900,6,Red ,Cotton,Magnesium Sulphate
100,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
105,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
110,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
115,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
120,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
125,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
130,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
135,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
140,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
145,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
150,45,75,35,1000,6.5,Red ,Cotton,Magnesium Sulphate
100,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
105,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
110,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
115,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
120,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
125,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
130,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
135,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
140,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
145,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
150,50,50,25,800,7,Red ,Cotton,13:32:26 NPK
100,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
105,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
110,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
115,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
120,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
125,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
130,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
135,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
140,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
145,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
150,55,55,30,900,7.5,Red ,Cotton,13:32:26 NPK
100,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
105,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
110,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
115,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
120,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
125,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
130,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
135,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
140,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
145,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
150,60,60,35,1000,6,Red ,Cotton,13:32:26 NPK
100,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
105,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
110,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
115,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
120,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
125,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
130,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
135,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
140,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
145,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
150,40,65,25,800,6.5,Red ,Cotton,13:32:26 NPK
100,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
105,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
110,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
115,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
120,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
125,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
130,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
135,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
140,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
145,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
150,45,70,30,900,7,Red ,Cotton,13:32:26 NPK
100,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
105,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
110,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
115,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
120,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
125,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
130,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
135,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
140,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
145,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
150,50,75,35,1000,7.5,Red ,Cotton,13:32:26 NPK
100,55,50,25,800,6,Red ,Cotton,DAP
105,55,50,25,800,6,Red ,Cotton,DAP
110,55,50,25,800,6,Red ,Cotton,DAP
115,55,50,25,800,6,Red ,Cotton,DAP
120,55,50,25,800,6,Red ,Cotton,DAP
125,55,50,25,800,6,Red ,Cotton,DAP
130,55,50,25,800,6,Red ,Cotton,DAP
135,55,50,25,800,6,Red ,Cotton,DAP
140,55,50,25,800,6,Red ,Cotton,DAP
145,55,50,25,800,6,Red ,Cotton,DAP
150,55,50,25,800,6,Red ,Cotton,DAP
100,60,55,30,900,6.5,Red ,Cotton,DAP
105,60,55,30,900,6.5,Red ,Cotton,DAP
110,60,55,30,900,6.5,Red ,Cotton,DAP
115,60,55,30,900,6.5,Red ,Cotton,DAP
120,60,55,30,900,6.5,Red ,Cotton,DAP
125,60,55,30,900,6.5,Red ,Cotton,DAP
130,60,55,30,900,6.5,Red ,Cotton,DAP
135,60,55,30,900,6.5,Red ,Cotton,DAP
140,60,55,30,900,6.5,Red ,Cotton,DAP
145,60,55,30,900,6.5,Red ,Cotton,DAP
150,60,55,30,900,6.5,Red ,Cotton,DAP
100,40,60,35,1000,7,Red ,Cotton,DAP
105,40,60,35,1000,7,Red ,Cotton,DAP
110,40,60,35,1000,7,Red ,Cotton,DAP
115,40,60,35,1000,7,Red ,Cotton,DAP
120,40,60,35,1000,7,Red ,Cotton,DAP
125,40,60,35,1000,7,Red ,Cotton,DAP
130,40,60,35,1000,7,Red ,Cotton,DAP
135,40,60,35,1000,7,Red ,Cotton,DAP
140,40,60,35,1000,7,Red ,Cotton,DAP
145,40,60,35,1000,7,Red ,Cotton,DAP
150,40,60,35,1000,7,Red ,Cotton,DAP
100,45,65,25,800,7.5,Red ,Cotton,DAP
105,45,65,25,800,7.5,Red ,Cotton,DAP
110,45,65,25,800,7.5,Red ,Cotton,DAP
115,45,65,25,800,7.5,Red ,Cotton,DAP
120,45,65,25,800,7.5,Red ,Cotton,DAP
125,45,65,25,800,7.5,Red ,Cotton,DAP
130,45,65,25,800,7.5,Red ,Cotton,DAP
135,45,65,25,800,7.5,Red ,Cotton,DAP
140,45,65,25,800,7.5,Red ,Cotton,DAP
145,45,65,25,800,7.5,Red ,Cotton,DAP
150,45,65,25,800,7.5,Red ,Cotton,DAP
100,50,70,30,900,6,Red ,Cotton,DAP
105,50,70,30,900,6,Red ,Cotton,DAP
110,50,70,30,900,6,Red ,Cotton,DAP
115,50,70,30,900,6,Red ,Cotton,DAP
120,50,70,30,900,6,Red ,Cotton,DAP
125,50,70,30,900,6,Red ,Cotton,DAP
130,50,70,30,900,6,Red ,Cotton,DAP
135,50,70,30,900,6,Red ,Cotton,DAP
140,50,70,30,900,6,Red ,Cotton,DAP
145,50,70,30,900,6,Red ,Cotton,DAP
150,50,70,30,900,6,Red ,Cotton,DAP
100,55,75,35,1000,6.5,Red ,Cotton,DAP
105,55,75,35,1000,6.5,Red ,Cotton,DAP
110,55,75,35,1000,6.5,Red ,Cotton,DAP
115,55,75,35,1000,6.5,Red ,Cotton,DAP
120,55,75,35,1000,6.5,Red ,Cotton,DAP
125,55,75,35,1000,6.5,Red ,Cotton,DAP
130,55,75,35,1000,6.5,Red ,Cotton,DAP
135,55,75,35,1000,6.5,Red ,Cotton,DAP
140,55,75,35,1000,6.5,Red ,Cotton,DAP
145,55,75,35,1000,6.5,Red ,Cotton,DAP
150,55,75,35,1000,6.5,Red ,Cotton,DAP
100,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
105,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
110,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
115,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
120,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
125,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
130,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
135,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
140,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
145,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
150,60,50,25,800,7,Red ,Cotton,Magnesium Sulphate
100,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
105,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
110,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
115,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
120,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
125,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
130,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
135,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
140,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
145,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
150,40,55,30,900,7.5,Red ,Cotton,Magnesium Sulphate
100,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
105,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
110,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
115,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
120,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
125,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
130,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
135,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
140,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
145,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
150,45,60,35,1000,6,Red ,Cotton,Magnesium Sulphate
100,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
105,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
110,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
115,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
120,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
125,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
130,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
135,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
140,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
145,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
150,50,65,25,800,6.5,Red ,Cotton,Magnesium Sulphate
100,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
105,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
110,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
115,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
120,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
125,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
130,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
135,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
140,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
145,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
150,55,70,30,900,7,Red ,Cotton,Magnesium Sulphate
100,60,75,35,1000,7.5,Red ,Cotton,Magnesium Sulphate
105,60,75,35,1000,7.5,Red ,Cotton,Magnesium Sulphate
110,60,75,35,1000,7.5,Red ,Cotton,Magnesium Sulphate
115,60,75,35,1000,7.5,Red ,Cotton,Magnesium Sulphate
120,60,75,35,1000,7.5,Red ,Cotton,Magnesium Sulphate
125,60,75,35,1000,7.5,Red ,Cotton,Magnesium Sulphate
